OBJECTID,ID,Waterfall Name,Alternate Name,Municipality,County,Waterfall Type 1,Waterfall Type 2,Approximate Height (ft),Approximate Height 2 (ft),Access,Comments,Measurement,Date Measured,Stream Name,NJSPC83 Easting (X),NJSPC83 Northing (Y),GlobalID,x,y
11,30,Blue Mine Brook Falls  2,,Ringwood Borough,Passaic,Cascade, ,8.14,8.14,Public,Small waterfall a few hundred feet upstream of the Highlands Natural Pool.,Trimble rangefinder,9/24/2021 12:00:00 AM,Blue Mine Brook,539996.529,814160.563,f8b0449e-06a2-4271-ad42-731b8845ccc5,539996.529105674,814160.562847026
12,31,Boonton Falls,,Boonton,Morris,Cascade, ,36,32,Public,"Located in Grace Lord Park, Boonton. Length calculated for two cascades in close proximity. Upper main cascade was 36 feet.",Trimble rangefinder,8/15/2017 12:00:00 AM,Rockaway River,514939.807,755490.534,5473096b-f089-4d6a-abe4-c1526fa45ef7,514939.806909509,755490.533861861
13,32,Bridal Veil Falls,Buttermilk Falls,North Haledon Borough,Passaic,Plunge, ,38.6,38.6,Public,Scenic falls located in an old quarry adjacent to William Paterson University.,Trimble rangefinder,9/6/2017 12:00:00 AM,Falls Brook,577186,771527,10176cd2-4eed-4a10-b00b-6b8d1a3b25b3,577186.000002176,771527.000148438
14,33,Buttermilk Falls,,Walpack Twp.,Sussex,Multi-step waterfall,Cascade,130,30,Public,The third tallest waterfall in NJ.,Trimble rangefinder,7/26/2017 12:00:00 AM,Flat Brook Tributary,384958.815,839348.272,abf6cbe5-b13d-44bd-bb1d-a18d49eea72d,384958.814903509,839348.271985941
15,34,Buttermilk Falls,,Mendham Twp.,Morris,Cascade, ,14.4,8.29,Public,"Located in India Brook Park, Mendham Twp.",Trimble rangefinder,5/2/2018 12:00:00 AM,India Brook,458456.127,716162.117,66a9c017-020d-444e-8661-04aa22b365dc,458456.126898091,716162.117112026
16,35,Buttermilk Falls,,Bridgewater Twp.,Somerset,Horsetail, ,27.2,27.2,Public,Located in Washington Valley Park. At the end of the East Branch Reservoir.,Trimble rangefinder,3/14/2019 12:00:00 AM,MacMillan Brook,476263.477,638324.458,d84d1f7c-b771-416c-9d0b-2789e92ffef6,476263.477110092,638324.45815511
17,36,Buttermilk Falls,,Mahwah Twp.,Bergen,Multi-step waterfall,Cascade,11,6,Public,"Small scenic waterfall located in the upland area in the Ramapo Valley County Reservation. More specifically, it is located in Middle Valley in the stream south of MacMillan Reservoir.",Estimate,11/14/2003 12:00:00 AM,Macmillen Brook,574855.416,818923.986,97ba1dbc-7cf1-4cc6-b60b-497d6d710bec,574855.416080676,818923.986062944
18,37,Camp Wyanokie Waterfall,,West Milford Twp.,Passaic,Cascade, ,13.2,13.2,Public,"These falls are in a small ravine, four tenths of a mile hike from a Boy Scout Lake and picnic area.",Trimble rangefinder,11/1/2018 12:00:00 AM,West Brook Tributary,534778,818290,8f2345c8-ddd1-40cd-a42e-c21531e9ed14,534777.999844592,818290.00012619
19,38,Cataract Falls,The Cataract,Washington Twp.,Morris,Cataract,Cascade,51.5,44.3,Public,The top section of the falls is very tall. Located in Cataract Park on Schooley's Mountain. Trail to reach falls is off of Schooley's Mountain Rd.,Trimble rangefinder,3/20/2019 12:00:00 AM,Schooleys Mountain Brook Tributary,405452.434,721653.824,b5134987-cf98-44b7-9caf-f60ddc7b239a,405452.434021175,721653.82397636
20,39,Chikahoki Falls,,Bloomingdale Borough,Passaic,Fantail,Cascade,19.4,17.4,Public,Located in Norvin Green State Forest.,Trimble rangefinder,4/10/2019 12:00:00 AM,Posts Brook,538259.545,805369.837,c85dbba0-4d06-4a79-a322-3d4ccac6508c,538259.545046844,805369.836990193
21,40,Clinton Falls  2,,West Milford Twp.,Passaic,Cascade,Horsetail,12.85,10.4,Public,"The falls is located downstream of the the main falls on Clinton Road, about one mile north of N.J. Route 23, on lands of Newark Watershed. Permission must be gained to hike in the area.",Trimble rangefinder,3/14/2019 12:00:00 AM,Clinton Brook,506004.751,815022.34,be984ba8-7af1-4aec-9e75-16099662652e,506004.75096076,815022.339994855
22,41,Clinton Falls (High Falls),"High Falls, Janetta Falls",West Milford Twp.,Passaic,Plunge,Chute,20,20,Public,"The falls is located under a stone bridge on Clinton Road, about one mile north of N.J. Route 23, on lands of Newark Watershed. Permission must be gained to hike in the area.",Trimble rangefinder,3/14/2019 12:00:00 AM,Clinton Brook,505897.479,815432.175,4abf0189-12ea-4801-ac03-3278091f1ee2,505897.478865594,815432.175133191
23,42,Clinton Falls 3,,West Milford Twp.,Passaic,Chute, ,18.77,14.8,Public,"The falls is located below the High Falls on Clinton Road, about one mile north of N.J. Route 23, on lands of the Newark Watershed. Permission must be gained to hike in the area.",Trimble rangefinder,3/14/2019 12:00:00 AM,Clinton Brook,506040.83,814967.205,fb3c034a-55d9-47f7-b132-fd9e0d97588f,506040.829956844,814967.204934523
24,43,Coopers Glen Falls (Glen Cove),Glen Cove,Wantage Twp.,Sussex,Multi-step waterfall,Horsetail,30,15,Private,"A large multi-step waterfall in a steep ravine where Clove Brook plunges over two rough ledges. The falls is about one mile south of Coleville, on private lands closed to trespassers.",Trimble rangefinder,3/25/2021 12:00:00 AM,Clove Brook,453316.128,885452.084,6590c363-c0be-4654-bf5e-5e0c9bfda97a,453316.127991758,885452.08397761
25,114,Coopers Glen Falls Upper,,Wantage Twp.,Sussex,Cascade, ,7,7,Private,"A small waterfall near a steep embankment along Rt. 23 south. The falls is about one mile south of Coleville, on private lands closed to trespassers.",Trimble rangefinder,3/25/2021 12:00:00 AM,Clove Brook,453143.999,885734.881,8506d444-c3c4-44c0-abf8-a942b3631cb7,453143.999070928,885734.880984187
